[Thu Jul 22 10:17:43.072 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:17:54.800 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:17:56.175 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:26:55.891 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Thu Jul 22 10:26:56.256 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:27:03.833 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:27:35.437 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Thu Jul 22 10:27:35.719 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:27:44.030 2010] 0.000 sec [all/1/rel 6 (0,20)] [*] hi
[Thu Jul 22 10:28:37.949 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Thu Jul 22 10:28:39.431 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] b
[Thu Jul 22 10:28:39.738 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bi
[Thu Jul 22 10:28:40.034 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] b
[Thu Jul 22 10:28:40.357 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bid
[Thu Jul 22 10:28:40.554 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bi
[Thu Jul 22 10:28:40.910 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bis
[Thu Jul 22 10:28:41.237 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bish
[Thu Jul 22 10:28:41.567 2010] 0.000 sec [all/1/rel 1 (0,20)] [*] bisha
[Thu Jul 22 10:28:45.355 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bish
[Thu Jul 22 10:28:45.706 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bis
[Thu Jul 22 10:28:46.020 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bi
[Thu Jul 22 10:28:46.469 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] b
[Thu Jul 22 10:28:47.552 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bh
[Thu Jul 22 10:28:47.878 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bha
[Thu Jul 22 10:28:51.786 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bhan
